state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/0-DQN/model.py:19: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
0 episode | score: 30.00 | epsilon: 1.00
10 episode | score: 29.53 | epsilon: 1.00
20 episode | score: 28.56 | epsilon: 1.00
30 episode | score: 28.49 | epsilon: 1.00
40 episode | score: 27.54 | epsilon: 1.00
50 episode | score: 26.77 | epsilon: 1.00
60 episode | score: 27.18 | epsilon: 1.00
70 episode | score: 26.78 | epsilon: 1.00
80 episode | score: 26.10 | epsilon: 1.00
90 episode | score: 25.64 | epsilon: 0.99
100 episode | score: 25.43 | epsilon: 0.99
110 episode | score: 24.66 | epsilon: 0.99
120 episode | score: 24.33 | epsilon: 0.99
130 episode | score: 23.59 | epsilon: 0.99
140 episode | score: 23.19 | epsilon: 0.99
150 episode | score: 23.37 | epsilon: 0.99
160 episode | score: 23.31 | epsilon: 0.99
170 episode | score: 23.15 | epsilon: 0.99
180 episode | score: 23.17 | epsilon: 0.98
190 episode | score: 22.95 | epsilon: 0.98
200 episode | score: 22.89 | epsilon: 0.98
210 episode | score: 22.21 | epsilon: 0.98
220 episode | score: 21.72 | epsilon: 0.98
230 episode | score: 21.11 | epsilon: 0.98
240 episode | score: 20.72 | epsilon: 0.98
250 episode | score: 20.58 | epsilon: 0.98
260 episode | score: 20.68 | epsilon: 0.98
270 episode | score: 21.25 | epsilon: 0.97
280 episode | score: 21.72 | epsilon: 0.97
290 episode | score: 21.82 | epsilon: 0.97
300 episode | score: 22.11 | epsilon: 0.97
310 episode | score: 21.88 | epsilon: 0.97
320 episode | score: 21.82 | epsilon: 0.97
330 episode | score: 21.53 | epsilon: 0.97
340 episode | score: 21.46 | epsilon: 0.97
350 episode | score: 21.18 | epsilon: 0.97
360 episode | score: 21.36 | epsilon: 0.96
370 episode | score: 21.61 | epsilon: 0.96
380 episode | score: 21.86 | epsilon: 0.96
390 episode | score: 21.77 | epsilon: 0.96
400 episode | score: 22.00 | epsilon: 0.96
410 episode | score: 21.70 | epsilon: 0.96
420 episode | score: 22.42 | epsilon: 0.96
430 episode | score: 22.89 | epsilon: 0.96
440 episode | score: 23.18 | epsilon: 0.95
450 episode | score: 22.61 | epsilon: 0.95
460 episode | score: 22.96 | epsilon: 0.95
470 episode | score: 23.49 | epsilon: 0.95
480 episode | score: 23.95 | epsilon: 0.95
490 episode | score: 23.45 | epsilon: 0.95
500 episode | score: 23.44 | epsilon: 0.95
510 episode | score: 23.58 | epsilon: 0.95
