state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
0 episode | score: 26.00 | epsilon: 1.00
10 episode | score: 25.24 | epsilon: 1.00
20 episode | score: 24.43 | epsilon: 1.00
30 episode | score: 23.89 | epsilon: 1.00
40 episode | score: 23.61 | epsilon: 1.00
50 episode | score: 23.25 | epsilon: 1.00
60 episode | score: 22.94 | epsilon: 0.99
70 episode | score: 23.09 | epsilon: 0.98
80 episode | score: 22.61 | epsilon: 0.97
90 episode | score: 22.58 | epsilon: 0.95
100 episode | score: 21.98 | epsilon: 0.95
110 episode | score: 21.88 | epsilon: 0.93
120 episode | score: 21.83 | epsilon: 0.92
130 episode | score: 21.85 | epsilon: 0.91
140 episode | score: 21.85 | epsilon: 0.90
150 episode | score: 22.38 | epsilon: 0.89
160 episode | score: 22.16 | epsilon: 0.88
170 episode | score: 22.60 | epsilon: 0.86
180 episode | score: 22.60 | epsilon: 0.85
190 episode | score: 22.64 | epsilon: 0.84
200 episode | score: 21.86 | epsilon: 0.83
210 episode | score: 22.19 | epsilon: 0.82
220 episode | score: 21.62 | epsilon: 0.81
230 episode | score: 21.37 | epsilon: 0.80
240 episode | score: 21.43 | epsilon: 0.79
250 episode | score: 20.97 | epsilon: 0.78
260 episode | score: 20.82 | epsilon: 0.77
270 episode | score: 20.84 | epsilon: 0.76
280 episode | score: 20.35 | epsilon: 0.75
290 episode | score: 20.57 | epsilon: 0.74
300 episode | score: 20.72 | epsilon: 0.73
310 episode | score: 20.29 | epsilon: 0.72
320 episode | score: 20.11 | epsilon: 0.71
330 episode | score: 20.19 | epsilon: 0.70
340 episode | score: 20.34 | epsilon: 0.68
350 episode | score: 21.38 | epsilon: 0.67
360 episode | score: 21.73 | epsilon: 0.66
370 episode | score: 21.35 | epsilon: 0.65
380 episode | score: 22.41 | epsilon: 0.63
390 episode | score: 22.36 | epsilon: 0.62
400 episode | score: 22.33 | epsilon: 0.61
410 episode | score: 22.21 | epsilon: 0.60
420 episode | score: 22.09 | epsilon: 0.58
430 episode | score: 21.84 | epsilon: 0.57
440 episode | score: 21.31 | epsilon: 0.57
450 episode | score: 20.45 | epsilon: 0.56
460 episode | score: 20.11 | epsilon: 0.55
470 episode | score: 20.16 | epsilon: 0.54
480 episode | score: 19.72 | epsilon: 0.53
490 episode | score: 19.90 | epsilon: 0.52
500 episode | score: 19.83 | epsilon: 0.51
510 episode | score: 19.14 | epsilon: 0.50
520 episode | score: 19.05 | epsilon: 0.49
530 episode | score: 18.97 | epsilon: 0.48
540 episode | score: 18.89 | epsilon: 0.47
550 episode | score: 19.20 | epsilon: 0.46
560 episode | score: 18.98 | epsilon: 0.45
570 episode | score: 18.84 | epsilon: 0.44
580 episode | score: 18.51 | epsilon: 0.44
590 episode | score: 18.24 | epsilon: 0.43
600 episode | score: 18.01 | epsilon: 0.42
610 episode | score: 17.79 | epsilon: 0.41
620 episode | score: 17.50 | epsilon: 0.40
630 episode | score: 17.57 | epsilon: 0.39
640 episode | score: 17.01 | epsilon: 0.39
650 episode | score: 16.76 | epsilon: 0.38
660 episode | score: 16.81 | epsilon: 0.37
670 episode | score: 16.66 | epsilon: 0.36
680 episode | score: 16.48 | epsilon: 0.35
690 episode | score: 16.03 | epsilon: 0.35
700 episode | score: 15.73 | epsilon: 0.34
710 episode | score: 15.40 | epsilon: 0.33
720 episode | score: 15.47 | epsilon: 0.33
730 episode | score: 15.42 | epsilon: 0.32
740 episode | score: 15.53 | epsilon: 0.31
750 episode | score: 15.55 | epsilon: 0.30
760 episode | score: 15.60 | epsilon: 0.29
770 episode | score: 15.77 | epsilon: 0.28
780 episode | score: 15.90 | epsilon: 0.27
790 episode | score: 16.04 | epsilon: 0.26
800 episode | score: 16.85 | epsilon: 0.25
810 episode | score: 17.58 | epsilon: 0.24
820 episode | score: 18.54 | epsilon: 0.23
830 episode | score: 19.06 | epsilon: 0.21
840 episode | score: 19.29 | epsilon: 0.20
850 episode | score: 20.24 | epsilon: 0.19
860 episode | score: 20.76 | epsilon: 0.17
870 episode | score: 20.99 | epsilon: 0.16
880 episode | score: 21.06 | epsilon: 0.15
890 episode | score: 21.10 | epsilon: 0.14
900 episode | score: 21.22 | epsilon: 0.13
910 episode | score: 20.93 | epsilon: 0.12
920 episode | score: 20.76 | epsilon: 0.11
930 episode | score: 20.44 | epsilon: 0.10
940 episode | score: 20.53 | epsilon: 0.10
950 episode | score: 20.47 | epsilon: 0.10
960 episode | score: 20.72 | epsilon: 0.10
970 episode | score: 20.97 | epsilon: 0.10
980 episode | score: 21.37 | epsilon: 0.10
990 episode | score: 21.27 | epsilon: 0.10
1000 episode | score: 21.29 | epsilon: 0.10
1010 episode | score: 21.14 | epsilon: 0.10
1020 episode | score: 20.83 | epsilon: 0.10
1030 episode | score: 20.48 | epsilon: 0.10
1040 episode | score: 20.30 | epsilon: 0.10
1050 episode | score: 20.32 | epsilon: 0.10
1060 episode | score: 20.41 | epsilon: 0.10
1070 episode | score: 20.38 | epsilon: 0.10
1080 episode | score: 20.37 | epsilon: 0.10
1090 episode | score: 20.57 | epsilon: 0.10
1100 episode | score: 20.61 | epsilon: 0.10
1110 episode | score: 20.33 | epsilon: 0.10
1120 episode | score: 19.95 | epsilon: 0.10
1130 episode | score: 19.60 | epsilon: 0.10
1140 episode | score: 19.11 | epsilon: 0.10
1150 episode | score: 18.82 | epsilon: 0.10
1160 episode | score: 18.29 | epsilon: 0.10
1170 episode | score: 17.85 | epsilon: 0.10
1180 episode | score: 17.53 | epsilon: 0.10
1190 episode | score: 17.22 | epsilon: 0.10
1200 episode | score: 17.00 | epsilon: 0.10
1210 episode | score: 16.75 | epsilon: 0.10
1220 episode | score: 16.48 | epsilon: 0.10
1230 episode | score: 16.26 | epsilon: 0.10
1240 episode | score: 16.03 | epsilon: 0.10
1250 episode | score: 15.89 | epsilon: 0.10
1260 episode | score: 16.31 | epsilon: 0.10
1270 episode | score: 16.30 | epsilon: 0.10
1280 episode | score: 16.81 | epsilon: 0.10
1290 episode | score: 16.86 | epsilon: 0.10
1300 episode | score: 16.91 | epsilon: 0.10
1310 episode | score: 17.01 | epsilon: 0.10
1320 episode | score: 17.50 | epsilon: 0.10
1330 episode | score: 17.58 | epsilon: 0.10
1340 episode | score: 17.83 | epsilon: 0.10
1350 episode | score: 17.86 | epsilon: 0.10
1360 episode | score: 17.58 | epsilon: 0.10
1370 episode | score: 17.70 | epsilon: 0.10
1380 episode | score: 18.20 | epsilon: 0.10
1390 episode | score: 18.58 | epsilon: 0.10
1400 episode | score: 18.73 | epsilon: 0.10
