state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/2-DRQN-Stack/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
0 episode | score: 26.00 | epsilon: 1.00
10 episode | score: 25.50 | epsilon: 1.00
20 episode | score: 26.68 | epsilon: 1.00
30 episode | score: 26.13 | epsilon: 1.00
40 episode | score: 25.58 | epsilon: 1.00
50 episode | score: 25.31 | epsilon: 0.99
60 episode | score: 25.31 | epsilon: 0.97
70 episode | score: 24.53 | epsilon: 0.96
80 episode | score: 24.06 | epsilon: 0.95
90 episode | score: 23.90 | epsilon: 0.94
100 episode | score: 23.81 | epsilon: 0.93
110 episode | score: 23.80 | epsilon: 0.92
120 episode | score: 23.54 | epsilon: 0.91
130 episode | score: 23.84 | epsilon: 0.89
140 episode | score: 23.49 | epsilon: 0.88
150 episode | score: 23.89 | epsilon: 0.87
160 episode | score: 23.63 | epsilon: 0.86
170 episode | score: 23.71 | epsilon: 0.84
180 episode | score: 23.84 | epsilon: 0.83
190 episode | score: 23.36 | epsilon: 0.82
200 episode | score: 23.11 | epsilon: 0.81
210 episode | score: 22.88 | epsilon: 0.80
220 episode | score: 22.56 | epsilon: 0.79
230 episode | score: 22.67 | epsilon: 0.78
240 episode | score: 22.85 | epsilon: 0.76
250 episode | score: 24.02 | epsilon: 0.74
260 episode | score: 23.87 | epsilon: 0.73
270 episode | score: 23.25 | epsilon: 0.72
280 episode | score: 23.44 | epsilon: 0.71
290 episode | score: 23.55 | epsilon: 0.70
300 episode | score: 23.90 | epsilon: 0.68
310 episode | score: 24.26 | epsilon: 0.67
320 episode | score: 24.49 | epsilon: 0.66
330 episode | score: 24.10 | epsilon: 0.64
340 episode | score: 24.97 | epsilon: 0.63
350 episode | score: 25.59 | epsilon: 0.61
360 episode | score: 25.65 | epsilon: 0.60
370 episode | score: 26.21 | epsilon: 0.58
380 episode | score: 25.93 | epsilon: 0.57
390 episode | score: 26.35 | epsilon: 0.55
400 episode | score: 27.02 | epsilon: 0.54
410 episode | score: 26.68 | epsilon: 0.52
420 episode | score: 27.17 | epsilon: 0.51
430 episode | score: 28.45 | epsilon: 0.49
440 episode | score: 30.41 | epsilon: 0.46
450 episode | score: 30.71 | epsilon: 0.44
460 episode | score: 31.93 | epsilon: 0.42
470 episode | score: 34.02 | epsilon: 0.39
480 episode | score: 34.90 | epsilon: 0.37
490 episode | score: 35.38 | epsilon: 0.35
500 episode | score: 37.92 | epsilon: 0.32
510 episode | score: 37.96 | epsilon: 0.30
520 episode | score: 37.78 | epsilon: 0.28
530 episode | score: 37.07 | epsilon: 0.27
540 episode | score: 41.01 | epsilon: 0.23
550 episode | score: 48.26 | epsilon: 0.17
560 episode | score: 64.72 | epsilon: 0.10
570 episode | score: 73.87 | epsilon: 0.10
580 episode | score: 95.55 | epsilon: 0.10
590 episode | score: 112.44 | epsilon: 0.10
600 episode | score: 124.55 | epsilon: 0.10
610 episode | score: 128.15 | epsilon: 0.10
620 episode | score: 145.51 | epsilon: 0.10
630 episode | score: 146.88 | epsilon: 0.10
640 episode | score: 152.36 | epsilon: 0.10
650 episode | score: 160.48 | epsilon: 0.10
660 episode | score: 163.68 | epsilon: 0.10
670 episode | score: 157.75 | epsilon: 0.10
680 episode | score: 155.16 | epsilon: 0.10
690 episode | score: 152.31 | epsilon: 0.10
700 episode | score: 162.81 | epsilon: 0.10
710 episode | score: 170.72 | epsilon: 0.10
720 episode | score: 180.14 | epsilon: 0.10
730 episode | score: 191.17 | epsilon: 0.10
740 episode | score: 199.45 | epsilon: 0.10
