state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/3-DRQN-Store-State/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
0 episode | score: 23.00 | epsilon: 1.00
10 episode | score: 22.77 | epsilon: 1.00
20 episode | score: 22.79 | epsilon: 1.00
30 episode | score: 22.82 | epsilon: 1.00
40 episode | score: 22.67 | epsilon: 1.00
50 episode | score: 21.92 | epsilon: 0.99
60 episode | score: 21.68 | epsilon: 0.98
70 episode | score: 21.49 | epsilon: 0.97
80 episode | score: 21.01 | epsilon: 0.97
90 episode | score: 20.60 | epsilon: 0.96
100 episode | score: 20.89 | epsilon: 0.94
110 episode | score: 20.71 | epsilon: 0.93
120 episode | score: 20.73 | epsilon: 0.92
130 episode | score: 20.78 | epsilon: 0.91
140 episode | score: 20.62 | epsilon: 0.90
150 episode | score: 20.78 | epsilon: 0.89
160 episode | score: 20.48 | epsilon: 0.88
170 episode | score: 20.30 | epsilon: 0.87
180 episode | score: 20.48 | epsilon: 0.86
190 episode | score: 21.55 | epsilon: 0.84
200 episode | score: 21.92 | epsilon: 0.83
210 episode | score: 21.62 | epsilon: 0.82
220 episode | score: 21.90 | epsilon: 0.81
230 episode | score: 22.29 | epsilon: 0.79
240 episode | score: 21.72 | epsilon: 0.79
250 episode | score: 20.95 | epsilon: 0.78
260 episode | score: 20.37 | epsilon: 0.77
270 episode | score: 20.37 | epsilon: 0.76
280 episode | score: 20.16 | epsilon: 0.75
290 episode | score: 20.60 | epsilon: 0.74
300 episode | score: 20.76 | epsilon: 0.73
310 episode | score: 21.04 | epsilon: 0.71
320 episode | score: 22.00 | epsilon: 0.70
330 episode | score: 23.18 | epsilon: 0.68
340 episode | score: 23.47 | epsilon: 0.67
350 episode | score: 24.52 | epsilon: 0.65
360 episode | score: 24.08 | epsilon: 0.64
370 episode | score: 25.45 | epsilon: 0.62
380 episode | score: 25.89 | epsilon: 0.60
390 episode | score: 27.08 | epsilon: 0.58
400 episode | score: 28.43 | epsilon: 0.56
410 episode | score: 27.44 | epsilon: 0.55
420 episode | score: 27.50 | epsilon: 0.54
430 episode | score: 28.23 | epsilon: 0.52
440 episode | score: 32.06 | epsilon: 0.48
450 episode | score: 36.44 | epsilon: 0.45
460 episode | score: 45.17 | epsilon: 0.38
470 episode | score: 49.50 | epsilon: 0.34
480 episode | score: 55.09 | epsilon: 0.28
490 episode | score: 56.14 | epsilon: 0.25
500 episode | score: 59.62 | epsilon: 0.20
510 episode | score: 63.87 | epsilon: 0.15
520 episode | score: 72.28 | epsilon: 0.10
530 episode | score: 76.43 | epsilon: 0.10
540 episode | score: 81.88 | epsilon: 0.10
550 episode | score: 88.81 | epsilon: 0.10
560 episode | score: 94.34 | epsilon: 0.10
570 episode | score: 94.58 | epsilon: 0.10
580 episode | score: 95.31 | epsilon: 0.10
590 episode | score: 94.70 | epsilon: 0.10
600 episode | score: 95.90 | epsilon: 0.10
610 episode | score: 88.23 | epsilon: 0.10
620 episode | score: 84.04 | epsilon: 0.10
630 episode | score: 87.60 | epsilon: 0.10
640 episode | score: 94.49 | epsilon: 0.10
650 episode | score: 95.66 | epsilon: 0.10
660 episode | score: 101.63 | epsilon: 0.10
670 episode | score: 106.75 | epsilon: 0.10
680 episode | score: 106.47 | epsilon: 0.10
690 episode | score: 107.76 | epsilon: 0.10
700 episode | score: 109.14 | epsilon: 0.10
710 episode | score: 111.64 | epsilon: 0.10
720 episode | score: 110.05 | epsilon: 0.10
730 episode | score: 108.92 | epsilon: 0.10
740 episode | score: 111.89 | epsilon: 0.10
750 episode | score: 115.24 | epsilon: 0.10
760 episode | score: 117.54 | epsilon: 0.10
770 episode | score: 122.66 | epsilon: 0.10
780 episode | score: 123.45 | epsilon: 0.10
790 episode | score: 131.04 | epsilon: 0.10
800 episode | score: 143.34 | epsilon: 0.10
810 episode | score: 157.69 | epsilon: 0.10
820 episode | score: 148.15 | epsilon: 0.10
830 episode | score: 147.86 | epsilon: 0.10
840 episode | score: 158.67 | epsilon: 0.10
850 episode | score: 169.52 | epsilon: 0.10
860 episode | score: 192.27 | epsilon: 0.10
