state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/4-R2D2-Single/model.py:21: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
0 episode | score: 10.00 | epsilon: 1.00
10 episode | score: 11.90 | epsilon: 1.00
20 episode | score: 12.74 | epsilon: 1.00
30 episode | score: 14.22 | epsilon: 1.00
40 episode | score: 15.35 | epsilon: 1.00
50 episode | score: 15.37 | epsilon: 0.99
60 episode | score: 16.19 | epsilon: 0.98
70 episode | score: 16.33 | epsilon: 0.97
80 episode | score: 16.45 | epsilon: 0.96
90 episode | score: 17.13 | epsilon: 0.94
100 episode | score: 17.49 | epsilon: 0.93
110 episode | score: 17.48 | epsilon: 0.92
120 episode | score: 18.31 | epsilon: 0.91
130 episode | score: 19.00 | epsilon: 0.90
140 episode | score: 20.13 | epsilon: 0.88
150 episode | score: 20.87 | epsilon: 0.87
160 episode | score: 20.82 | epsilon: 0.86
170 episode | score: 21.69 | epsilon: 0.84
180 episode | score: 21.77 | epsilon: 0.83
190 episode | score: 21.94 | epsilon: 0.82
200 episode | score: 22.01 | epsilon: 0.80
210 episode | score: 22.96 | epsilon: 0.79
220 episode | score: 24.45 | epsilon: 0.77
230 episode | score: 25.65 | epsilon: 0.75
240 episode | score: 27.00 | epsilon: 0.73
250 episode | score: 27.39 | epsilon: 0.71
260 episode | score: 29.27 | epsilon: 0.69
270 episode | score: 30.65 | epsilon: 0.67
280 episode | score: 32.92 | epsilon: 0.64
290 episode | score: 34.17 | epsilon: 0.62
300 episode | score: 34.54 | epsilon: 0.60
310 episode | score: 35.31 | epsilon: 0.57
320 episode | score: 37.21 | epsilon: 0.55
330 episode | score: 38.46 | epsilon: 0.52
340 episode | score: 39.55 | epsilon: 0.50
350 episode | score: 45.12 | epsilon: 0.45
360 episode | score: 47.32 | epsilon: 0.41
370 episode | score: 49.76 | epsilon: 0.37
380 episode | score: 53.75 | epsilon: 0.33
390 episode | score: 59.59 | epsilon: 0.27
400 episode | score: 71.86 | epsilon: 0.18
410 episode | score: 83.37 | epsilon: 0.10
420 episode | score: 90.95 | epsilon: 0.10
430 episode | score: 96.57 | epsilon: 0.10
440 episode | score: 105.26 | epsilon: 0.10
450 episode | score: 114.08 | epsilon: 0.10
460 episode | score: 116.85 | epsilon: 0.10
470 episode | score: 125.50 | epsilon: 0.10
480 episode | score: 129.30 | epsilon: 0.10
490 episode | score: 140.98 | epsilon: 0.10
500 episode | score: 159.77 | epsilon: 0.10
510 episode | score: 179.90 | epsilon: 0.10
520 episode | score: 192.32 | epsilon: 0.10
530 episode | score: 200.57 | epsilon: 0.10
